Area,Price
1260,14539
630,7969
900,11000
455,18571
559,18808
263,14359
2200,28200
280,6678
375,6154
758,14800
540,7761
290,8837
758,14400
640,11345
710,12250
679,7009
441,10553
475,7737
701,12623
330,11957
838,5750
770,10909
680,6842
1820,17526
400,6338
480,5983
660,4861
415,9478
820,7719
755,15446
668,10588
410,9381
700,11340
800,4769
450,7500
856,7092
1120,14074
480,13333
475,4681
400,8923
749,5472
480,20370
590,5932
636,11895
600,6667
450,9091
771,8727
1000,11524
464,14902
636,11684
475,10709
440,9538
700,7883
420,11905
750,1986
666,9091
468,19231
401,6774
650,12449
450,10068
460,4118
380,5778
915,6130
635,4490
445,10543
756,12566
910,16774
559,18204
1500,12973
450,6049
550,6364
455,6462
635,24165
450,3545
464,14902
570,18235
767,18889
650,11474
780,11000
636,11579
930,17500
430,9905
640,6200
388,4812
435,6190
300,13333
410,8824
636,11789
940,13077
475,6462
468,3608
1250,16667
450,7538
818,22127
670,6536
580,8182
584,5814
640,3750
1260,12401
700,7158
430,11429
844,15556
450,7692
450,13667
430,3846
676,16316
1115,18834
950,11896
530,12500
700,12778
902,19024
1090,14114
640,6500
880,15000
1070,18811
300,12667
1250,16975
610,9091
700,6024
900,16667
680,11256
1163,21840
430,6308
486,3640
486,3412
441,16348
752,9953
1015,17549
515,6000
425,8125
350,7344
635,25197
401,3203
490,15385
580,17000
386,8097
486,8889
675,3067
405,3917
600,10439
838,5828
574,19231
430,3968
450,9167
999,14804
607,14828
586,11111
470,10714
1100,18000
750,16011
800,17500
1246,13808
443,2501
580,16875
586,11333
685,8500
1518,14415
2020,24017
455,10870
1090,15845
1070,20000
585,3634
826,15969
444,7978
650,3846
750,11960
495,5000
650,11857
993,16454
711,12200
1042,20154
611,8900
779,11941
525,9870
636,11368
610,6800
450,6838
720,12444
1100,12857
440,4857
700,4909
420,11000
900,14394
851,12727
580,8392
580,7647
650,4271
620,14516
444,9920
530,3670
400,9000
710,7732
1380,12681
414,7100
851,13000
1520,12012
927,18657
690,14545
472,14725
500,7218
685,20909
1190,13443
711,12000
698,15714
456,9077
550,15455
503,8067
1073,16605
1116,13262
846,17196
650,9125
800,14348
691,11298
660,13063
652,18125
661,18097
700,23043
700,11300
720,17500
1000,16065
750,20556
820,13727
1168,13691
1123,18700
1015,14778
710,11429
309,15976
467,7143
413,14528
761,12171
778,8091
680,11558
443,5263
440,4516
1350,21250
960,12400
444,10615
437,9820
702,4412
950,17034
1850,18250
727,10417
638,7098
600,8184
1153,13192
490,7286
320,4000
1294,15942
1153,13307
475,4074
437,10333
460,11724
585,7395
795,14286
975,13745
364,3067
1700,17240
690,14455
640,10513
477,4823
700,20000
672,11000
455,7647
600,9783
775,11349
760,15417
430,9167
410,9508
420,3908
645,10000
680,9333
480,14286
624,12152
607,5756
1252,10345
444,5091
480,7742
1424,18636
680,8980
290,6279
1800,20833
600,10000
638,6929
610,11125
472,10833
510,8795
952,9818
848,11282
425,9402
350,9100
710,19474
600,10000
437,11899
371,12364
858,12417
900,8652
734,12692
815,6748
775,10909
570,3026
650,14348
465,11024
557,4277
392,3911
2350,20714
700,12857
993,16905
672,13095
450,7636
672,10728
640,8421
668,11885
640,15488
750,5909
907,10769
286,17981
640,11029
1370,16986
445,7519
1395,18942
600,9412
360,3929
575,19379
575,19379
575,10400
525,13081
622,4556
586,10667
510,16250
406,7803
586,10778
750,13636
725,7576
586,10889
472,12008
440,8859
605,10600
600,6875
455,10963
765,9681
955,12857
738,5403
475,16667
710,12324
576,9868
1250,17500
870,22414
1090,16857
420,7647
455,6870
586,10556
527,10816
730,13978
452,3518
1134,12605
622,8342
680,8857
421,13946
515,3385
524,6471
1195,7879
360,2045
700,13158
1600,14648
405,3520
700,8000
1100,12000
1700,24500
437,11613
516,3699
1321,10848
540,15455
638,4281
728,12857
586,11444
586,11556
625,10800
500,4615
586,11667
233,4762
1266,13500
1120,16106
530,4015
650,15852
363,6061
1175,19250
1350,9034
2043,12482
1977,12140
710,8980
1700,5375
740,13750
273,7738
800,7895
1100,17045
350,6000
760,8755
400,6774
540,6714
850,7429
405,7679
705,5357
1100,21923
560,15789
660,7105
660,7053
420,10606
700,5714
700,14035
950,10535
1200,11278
720,6573
1100,23704
800,5600
782,15504
540,11646
400,10444
750,13333
600,8148
1200,9375
890,12059
1333,20930
990,7826
700,7451
565,10092
485,12915
1300,10000
1122,10133
750,17797
400,5167
1220,14966
848,9962
620,27778
500,11429
750,9048
420,12308
700,8000
721,9459
550,7639
450,9615
500,6000
1800,13000
1000,8497
700,14091
400,5077
440,10070
740,7804
750,6957
695,4724
800,9825
785,10612
790,10593
750,6609
745,7965
1200,18750
1080,9444
900,19780
440,13077
1125,9783
650,7143
750,9145
415,5323
800,29545
460,9200
700,8522
400,6000
400,12000
450,6429
475,8451
700,9865
1200,9714
475,9286
475,6143
450,10838
450,7857
870,12132
1490,4448
890,4480
700,8785
1092,11607
600,5333
799,11789
812,7360
800,10000
604,5550
685,7822
680,14545
700,12455
725,17073
800,8462
625,9627
417,7914
700,9083
450,14444
430,6418
390,15500
1050,8529
815,9130
410,6131
820,11290
430,12769
746,7102
1300,10602
800,7373
660,12585
826,10196
870,25403
1350,8488
468,6259
1352,25670
1100,8036
650,5909
455,9846
850,10800
360,10618
685,7123
819,10952
790,16245
425,5000
682,4898
785,13860
686,8163
750,14222
1360,19950
880,7500
1600,11931
516,10714
430,8333
426,10308
750,13158
450,8667
527,10114
1350,7576
305,12903
700,13178
615,5556
455,5692
1050,9886
1050,10490
760,9211
1300,25000
680,9191
435,8571
210,7576
717,10351
220,6977
480,12154
410,6250
420,9000
363,14444
700,7493
750,18261
430,8923
750,5455
900,3750
1000,5500
750,4571
1000,4727
1200,9000
828,5137
885,2500
640,3200
965,3834
500,3385
1850,9600
800,4857
450,5600
950,4286
944,4237
954,4001
1500,8829
680,2969
828,5137
805,3387
980,2583
892,4000
950,4783
850,2364
975,6780
909,6349
950,3877
800,3700
1250,4643
950,3500
900,5100
939,4234
900,4083
1000,4100
1100,4000
560,7761
1200,4688
800,3981
800,4074
950,5417
770,2644
465,4000
800,3426
800,3800
900,3524
800,3519
1025,3951
1100,5667
600,2600
1200,4500
980,2399
1200,4534
1418,3900
1000,6667
700,6062
750,4381
512,3136
850,5769
750,5000
850,4960
1365,6222
650,5217
1300,3846
1140,5443
600,4118
950,3043
1300,5716
1200,5316
700,3875
1000,4167
2300,8807
450,3000
980,3966
1250,3316
1100,4597
1100,4617
900,4080
780,8021
750,4058
750,5238
750,4500
750,4091
1442,6750
1200,3786
975,3248
800,7500
955,4029
848,3934
603,3648
750,3529
800,3571
1300,3600
955,3963
750,3429
623,6501
400,8421
700,4222
1000,5980
690,6500
750,2632
998,5971
1700,6400
1000,9167
1400,7429
600,6111
1500,3444
600,3155
693,6500
790,4348
950,6486
1350,8235
801,5500
1800,9375
800,4700
860,6190
850,5111
700,5102
700,3523
750,4286
1100,8278
1100,5357
800,5145
1000,7619
1100,5833
700,4200
825,5273
790,3640
1225,3837
1400,6628
700,4588
650,5000
550,5322
1200,8750
860,5789
800,3261
950,4536
1395,3466
800,4000
924,3905
750,3371
900,4018
292,2363
1100,2969
625,2609
943,4000
850,3333
620,19186
1800,38194
1730,26281
650,8441
430,17273
941,37500
700,16509
950,28328
650,10577
476,12800
1382,38333
750,18696
1350,21436
777,25200
527,23529
330,21795
2300,31818
630,19318
613,17513
600,46429
1280,25833
2500,24563
430,20923
410,30488
308,6373
1500,31250
340,18305
1052,22383
220,16562
945,75000
1300,33516
1030,32959
700,8571
836,52778
650,11176
805,9434
1165,23823
320,17250
2418,20000
650,15455
585,12500
825,22400
1850,27857
1985,25091
1080,9242
2800,38816
390,6087
182,19167
400,16154
694,7789
440,19538
800,58500
1700,43182
475,14503
1260,39286
1091,23234
570,8000
410,9047
475,15286
305,14545
400,17857
845,23746
900,41667
780,11111
2100,24930
850,29600
1225,41152
800,30000
1600,32647
2264,28657
980,29630
2000,36122
1400,28750
1314,28376
593,24533
762,24934
962,26000
690,17487
1200,27857
800,21053
2100,22078
435,4500
1050,21887
533,21801
1100,21026
1352,29730
866,23364
1300,23333
500,58333
500,20492
437,18053
699,48811
482,10052
927,23704
418,19231
1280,51515
500,7069
500,7069
410,18657
730,20192
700,20556
270,15000
994,24014
440,14062
590,24938
900,19444
698,22118
250,14000
623,11047
559,12677
650,17143
1200,24012
1300,29032
750,26211
712,19142
1050,25000
600,30500
359,5900
724,21667
700,40625
2100,55952
1000,27300
2636,27593
390,7674
430,25333
225,24000
850,31703
1154,30281
700,18000
1118,33333
1130,46018
760,32000
625,8333
650,16212
1390,35928
500,20548
700,41467
730,16952
325,18919
330,20000
625,10800
269,17500
651,17742
650,13750
1600,50826
752,18947
400,16762
460,18852
415,16923
2300,84619
640,7534
440,16667
1200,76923
700,23077
450,17949
1604,24600
710,18848
742,21244
2800,44643
435,20000
1075,28148
1303,20771
600,18000
800,24775
1300,49231
657,8958
425,18333
1200,58333
661,20325
2100,40476
762,14286
495,13571
750,15169
630,14398
750,10337
584,4100
1600,41860
500,45714
1965,41509
720,15686
900,30000
1367,31707
300,22857
2300,30882
631,25000
361,8911
1005,25000
3650,29359
680,19886
1000,35000
350,11785
2100,40000
970,40889
1450,44828
1900,26000
1172,17273
900,30000
723,50303
425,12143
890,29856
600,21375
658,13659
985,17219
900,42857
716,18235
842,19831
770,28313
7400,35473
935,22917
565,41667
933,26795
488,15138
812,15714
408,23636
465,23810
700,35714
850,6438
1475,25000
710,18549
850,14216
1080,8533
850,26000
650,14667
1150,19931
802,17671
753,17273
495,18592
2500,33333
1946,36000
1150,38333
1800,76190
889,28468
912,30918
1400,41667
2000,19710
1350,59091
680,13770
750,14117
750,10753
2000,17188
2500,56140
1655,36254
250,12903
334,23333
1400,28028
888,18800
1500,25000
800,20000
725,24947
800,25455
450,17500
470,33333
1321,24756
425,17500
700,6118
3500,69231
1275,28571
423,13418
1500,54667
1185,22078
4200,39286
850,21000
780,19091
850,29600
650,11429
840,10417
500,15385
1763,20636
1156,19597
1075,27778
750,18261
308,21081
648,23529
742,18878
1600,42553
480,7850
700,11364
450,4480
554,17273
746,24675
1208,39863
761,17217
805,8658
650,21531
700,8500
685,12083
1700,15972
1350,15909
788,44078
1100,40000
720,26500
500,10000
480,27231
430,5970
3400,44000
1500,35333
420,26690
1008,22400
1000,18857
1368,21930
690,8852
890,53933
350,11333
950,21638
1100,23438
735,21053
730,29297
380,7778
955,26145
775,17742
750,26087
828,26000
777,35789
700,20603
1180,42623
960,20301
648,17368
720,59140
800,15417
371,20000
1088,17270
680,8286
480,6727
420,16667
1800,46250
690,20625
673,9350
1050,30000
700,19091
615,36719
1250,22424
365,23009
750,21111
1100,22333
888,16667
750,19167
750,17083
777,25385
750,26000
596,9901
435,14375
1300,21212
2005,22273
681,15349
650,21469
660,15625
752,27926
627,16514
1008,18519
671,16071
700,56069
558,15238
380,5453
471,18464
750,23469
614,7609
419,13194
665,16750
1045,35885
421,12836
389,23126
750,16296
378,25455
2850,43860
1458,37596
1272,25571
1100,23624
1230,15385
1002,19585
2220,27076
500,15663
1610,16304
450,18254
3700,46000
417,18261
369,17600
1078,36735
720,18000
466,6151
990,25000
535,6410
3100,65000
624,15058
750,28153
408,13146
780,24510
985,14800
1000,22500
500,17917
1600,61395
690,16667
2500,48333
455,11077
509,19178
2950,26562
425,7015
300,16216
1800,32600
430,27273
615,6349
710,19565
1048,17956
700,17895
1580,24313
272,17000
400,35320
650,17333
2070,56039
1000,22857
840,28740
2000,40200
864,24000
773,25000
1000,18750
745,24231
333,18679
450,14714
1359,17424
650,16667
1681,23174
486,4867
1600,36731
492,6714
174,17500
760,22105
710,18095
2320,24138
637,20476
1100,23212
323,13041
1068,20000
699,48811
1000,21111
912,20299
982,20168
864,22676
1131,17262
561,12734
561,12778
573,12407
1800,19333
450,5197
2300,31176
480,25000
1000,25667
1118,25171
850,60000
2075,30944
800,29500
700,22051
1150,41739
350,16807
1800,34091
955,22148
1140,49342
753,33068
1050,22138
436,14286
690,19672
1375,28529
620,18875
1500,15378
452,15844
422,15156
620,36842
1280,20588
1785,20774
1130,23725
400,8732
425,16667
675,10889
708,28889
600,11000
1128,41401
925,21923
925,22308
1330,20263
1100,26923
486,31250
1152,23438
735,9829
388,16829
650,14286
575,17263
955,21190
1650,31579
811,9694
1400,46250
913,37240
2500,67200
750,15909
590,24286
495,14889
450,32444
1050,23750
4200,42857
480,8880
650,10081
700,27500
1120,24062
750,27619
450,12667
732,39545
1201,28551
440,14436
640,18190
970,26000
520,14583
432,19759
1100,32000
720,16667
435,20301
680,8673
1000,16266
1450,17284
663,16558
1510,43902
373,14146
422,23000
575,26000
1122,17056
700,20000
1764,35714
750,15217
440,13333
564,23077
420,16981
797,13094
412,6796
700,8119
575,10732
710,18824
500,25000
292,40000
800,14252
800,16087
888,13333
760,34416
1900,22222
730,16438
865,19231
370,16344
550,53846
540,34815
1250,30270
705,18500
795,42000
800,19125
1000,22222
750,30000
710,39062
783,21200
2005,19242
1100,23571
650,46000
800,39130
669,13889
806,16544
720,15918
856,20234
1410,25263
425,13986
326,13182
608,15625
900,14365
1125,23091
750,21053
915,23497
725,20536
1091,27841
3311,18410
150,10000
680,26000
1266,38889
3050,32222
473,13333
765,17273
660,31439
920,15079
1150,12333
1642,41413
2000,48000
550,6629
1022,30714
1050,25385
675,18857
460,13167
2136,28082
978,38750
630,27692
220,34091
475,15862
1142,23533
3247,46196
725,22235
3000,55000
1300,32432
2067,18667
1550,12571
750,18500
600,40625
780,25000
610,21176
838,14368
503,17810
1623,30222
940,27407
664,16000
523,20000
667,21087
631,11527
430,40000
537,15213
1100,56667
1150,22222
3800,12590
1177,50977
378,25455
832,31250
1050,15758
475,10000
900,22222
455,20923
600,11053
1369,26991
815,23256
480,17241
650,33846
935,28340
662,12778
3300,13599
4200,14412
751,22198
361,6364
412,20400
987,25054
480,14412
685,25547
435,16923
450,9893
773,21636
690,15826
1550,55000
825,47767
620,14200
3200,11934
3800,13141
1202,19394
435,12604
760,22600
3045,48933
858,18750
2271,31467
1080,37500
820,16841
525,20000
609,22619
845,24667
1065,12788
792,3251
2045,7090
1575,9877
603,4146
2122,6501
1190,5314
735,7143
747,3614
630,2889
3850,10000
720,4400
860,5427
1550,4246
1050,4222
3700,3800
1087,6329
1041,6511
892,4227
540,3000
1150,3360
670,4374
857,4981
618,5592
850,5310
1679,4700
1615,6126
708,4746
1262,4437
2010,6471
670,5361
2045,7090
850,4769
1250,6878
1000,4122
1750,7229
1583,6905
2160,5753
1305,5763
1200,9169
3855,12833
945,5333
1800,3056
1235,5470
1840,3872
4000,5000
2500,12833
830,4520
721,5426
792,3535
800,5496
1675,6364
945,3333
1600,5312
1350,6500
1100,4133
1150,5020
960,4774
1175,8865
2211,4387
1650,5333
1122,6369
1286,4545
1004,4530
612,3758
1076,5576
73,3957
2211,4523
560,3101
1494,6693
1260,7602
900,1583
688,4364
820,4596
850,4621
1654,4585
2614,7542
790,4240
906,3728
2665,6000
756,5159
2531,6429
906,3799
768,6193
2490,6310
895,5148
588,3977
690,2350
751,4484
877,3630
2006,8908
3100,10000
500,4575
1200,10833
1100,8081
1300,5432
1206,9905
1100,5862
3638,7697
1200,7958
1800,6652
693,2540
1200,6045
907,4524
1600,6291
900,7066
693,4143
990,4472
1380,6838
969,6192
1350,8667
1620,3158
1400,7331
1068,3886
918,4831
950,4240
1625,7838
2052,6500
179,7031
2532,10227
745,4390
830,5000
825,4000
1200,4787
1980,6061
928,4500
909,5415
8000,7563
82,18902
1409,4868
2122,6501
800,5041
2796,8731
920,4590
774,2703
624,4821
818,4172
1450,5793
1107,3479
936,6838
848,3539
1975,4177
660,4364
658,5556
1290,7845
66,3704
826,4948
790,4386
3200,14444
1150,6215
364,4737
756,5754
1200,7235
756,5556
1123,5032
2600,7425
2300,8182
1159,6072
1100,11396
1550,3571
1069,6264
632,3989
1900,9201
685,4936
1270,8264
1100,5780
800,6562
128,4301
750,4348
3700,10000
1210,4800
2018,7246
1000,2818
448,3281
900,4714
1300,4009
1245,12000
600,6392
882,4218
1500,5056
1612,7900
700,3846
1000,3939
1200,5013
3700,9821
1228,6374
2429,8100
822,4681
950,4794
932,4279
1500,6158
665,4895
1220,3067
1180,3390
1000,2538
940,2305
2080,8878
495,3030
640,4091
118,14400
1240,5003
990,4951
1400,9214
1800,8385
882,4444
2122,6700
778,3850
2165,5081
945,4467
1557,5652
560,5189
779,4825
2200,9359
1030,2612
700,4482
3080,5682
747,6400
2000,8100
1294,5792
700,4691
8000,8800
1556,6586
847,5372
997,9568
1873,7121
1500,7407
3934,7626
3934,7626
540,5012
765,5455
4458,13000
1361,8483
2280,7632
900,3333
2640,8182
600,5600
1200,8378
860,4040
817,3859
1044,4661
704,6481
91,2735
63,3403
887,4837
920,4334
2010,7463
1618,7200
672,4541
672,4541
4400,5682
1250,3052
1765,7250
2280,5816
646,2786
1537,7000
945,7037
2320,8000
1200,5000
861,2033
711,4979
1300,6633
2022,7751
2420,6849
835,3819
1300,5223
945,4540
1325,5660
700,6019
890,5056
1700,6667
1804,7988
1729,4916
3600,2821
1200,1929
1620,5926
3600,8000
1800,7576
719,3972
3835,11891
670,5905
1500,8500
1413,3892
850,3796
738,3439
1180,4293
2781,11864
1680,7500
936,4167
1440,10000
810,4568
1100,5144
1397,6800
3350,8039
961,5930
195,47025
1980,5808
119,2368
650,2769
1307,7190
870,4349
1625,8000
1150,5100
1313,7200
2939,8500
2109,11111
2041,7224
1386,7576
1840,4348
963,5664
2705,8429
1080,4658
1300,8342
1083,4199
1733,5000
877,3852
1400,10000
700,4825
604,3935
1215,7000
1190,5926
877,3852
1310,5053
2800,8770
1323,5556
2760,7038
630,6032
2700,9259
990,3750
750,4359
810,5385
1330,4615
1470,5952
1215,3457
900,4500
3480,7800
3075,8333
708,4576
1008,4516
882,4003
675,4000
650,6316
686,3062
708,4492
819,3248
2600,6027
2000,7000
967,3386
1202,4054
3900,10500
645,5112
415,2941
1450,3132
1713,7076
832,5547
2262,11761
936,3739
624,3700
625,4091
906,3513
1080,2593
633,3500
449,5161
595,6050
2099,8814
3150,8750
2150,9921
1100,3750
700,5314
620,4717
1188,6313
1316,5827
1056,7812
1050,5638
819,3630
440,3714
1777,6364
699,4404
670,6029
95,42105
711,4641
879,4642
450,4444
760,4886
1362,11674
104,3825
1250,5185
1440,3819
1494,7229
739,4380
1150,6000
825,3175
2256,9309
680,4545
1204,5105
2206,7479
2400,7007
750,3606
777,5019
646,3437
810,4400
1800,5202
721,5078
1575,8333
2300,7747
607,3409
891,4714
887,5324
917,3991
1970,6757
770,4083
815,4390
1980,7000
1610,9346
1455,6598
850,4598
540,5556
1400,5363
2160,7900
2500,7986
750,4407
1443,5500
627,4388
912,4342
660,4000
2010,10448
3245,9500
1100,6818
897,4915
625,7124
1200,8130
145,5000
900,4083
760,4160
2300,10000
590,3350
2610,8812
390,4833
1500,6289
800,4951
585,3128
756,4895
590,6592
1740,8241
150,5000
788,5234
2590,9054
781,4032
1339,4750
900,4275
2154,4450
4000,5571
1100,6000
800,2893
1107,9106
968,6330
1400,5192
808,3382
2280,8553
675,2487
835,4878
900,5013
783,7350
876,5263
440,5216
1250,6027
900,2846
791,4571
900,6500
959,4334
2367,9872
389,4314
2018,7750
3000,12334
1458,4938
2172,8137
630,5000
1500,5500
1369,7500
658,3968
844,4591
2500,8833
700,4542
1467,5000
2704,6500
590,3889
615,7692
2797,12656
940,4087
498,3399
900,2727
212,6536
952,4727
1120,4875
756,3333
1440,6167
1200,8576
611,4261
758,4284
700,3444
3230,6656
1280,4330
980,4215
1278,6800
3200,11500
910,4659
832,4714
1076,5466
1197,4503
800,4087
2122,6500
900,3444
659,4249
882,4286
1060,4965
1007,4510
897,4164
1007,4771
3200,5401
1205,3900
906,3584
810,7556
633,4364
654,3800
633,3800
906,3656
1800,5900
1000,5556
831,6795
1125,6667
362,4444
960,5312
1350,8222
1090,6818
600,4545
2400,9525
1450,2690
1214,5073
594,4040
1162,3641
675,4267
5000,13138
1150,7200
1007,4706
888,4325
1020,3676
882,4603
690,4661
527,2107
810,4727
1143,4833
1200,7750
2000,7963
600,2289
1918,7136
840,5583
680,3786
1270,7554
711,4544
674,4050
1007,4641
537,4802
1088,4502
1665,6907
870,4428
1159,3648
1350,5208
1122,4078
861,3738
2122,6500
687,4810
999,3178
1925,8182
1174,6019
2704,6500
1000,3489
3200,9556
1409,5000
888,4591
2485,6113
1350,2889
500,3822
935,4118
2035,10024
1107,2778
2425,8523
1892,5814
1500,4913
850,5103
900,5000
1235,6592
607,3598
1200,7923
850,3937
1180,4661
713,4674
1800,5986
2310,11039
5000,13000
800,4280
1300,4150
845,4615
878,4561
1620,6296
2500,11968
859,4714
669,4936
890,5652
1095,5699
1210,4828
700,5156
857,4961
690,4750
1280,6212
1248,4329
980,4828
1260,5952
1410,8385
4785,12000
1296,5648
800,4793
1449,3913
3000,7000
2750,3455
2054,7497
1470,4048
751,4444
1499,5100
1000,3000
1400,4688
679,6701
3270,10000
1100,4971
1487,4432
770,3333
1110,4031
1275,4805
859,4437
1729,4974
855,5263
760,2667
490,5501
1729,5032
825,4587
1008,4514
1580,5230
1863,7000
569,7513
1620,7250
2600,6500
2600,7000
1007,4575
675,4756
1450,7474
1398,4500
792,3346
792,4040
1350,6400
895,4904
715,4000
1240,4387
800,4154
1248,7508
877,3778
1400,7708
294,10606
2050,8318
702,4274
1410,10284
2350,8018
1230,8621
372,4750
505,3636
687,5155
713,6522
758,4370
2600,7200
700,4444
1168,5817
1989,8660
3080,5500
1136,8761
630,8333
774,3230
933,4248
800,6538
2200,4937
970,6339
200,19000
506,3259
2859,10202
800,5226
450,4052
1807,8450
1150,6468
1968,8232
400,5079
1200,7859
945,5741
2170,9431
990,4089
877,3704
550,5352
700,6481
1172,6800
1130,6077
715,4303
527,10436
2070,8644
877,3852
1440,4167
1849,9139
877,3926
675,4638
600,4343
3270,6116
600,4706
705,3292
1206,8997
750,4280
1350,5556
888,5667
409,4615
1150,5300
801,4562
990,4286
1242,6500
1111,4094
1242,6500
1242,6500
693,3537
2300,10839
840,5357
901,4391
650,4500
1123,3933
721,4961
1123,3991
2700,6699
2580,15116
742,5333
633,4200
1367,4352
731,5556
500,6200
633,4000
750,5733
900,7778
888,4000
2614,6500
885,3040
825,4016
1460,5512
1306,5280
845,3846
825,4094
1325,7463
1600,8889
756,6852
5000,6220
988,4088
633,3709
633,4200
1130,5833
845,3923
891,3863
1975,5013
2552,9545
891,3936
845,3615
830,4808
1968,8232
950,4502
841,4273
891,3280
800,5839
1780,5100
800,3810
800,3947
891,4009
845,3692
1118,6111
790,3800
2513,4953
1215,6111
708,5000
845,3769
1204,7200
900,4334
1450,5136
825,4173
975,3923
825,4252
860,4902
624,5448
633,4000
646,5572
1123,4049
1123,4106
750,4480
666,4500
669,3800
633,4174
633,4500
888,4000
924,6385
700,3650
900,4467
639,4307
1500,2800
1226,7881
1010,3399
705,3651
705,3651
2000,8932
758,4113
715,4540
906,4667
820,3962
819,4872
2490,4545
829,4641
900,3634
820,4041
1800,9997
758,4199
688,4895
1110,6649
1433,5283
580,4000
910,3822
1920,6562
953,5824
325,9333
792,5208
1605,7477
900,4545
1700,6944
1180,6522
810,4875
899,5806
1890,5026
490,2857
850,5455
1960,6786
1187,6256
1325,5333
1281,4561
800,4641
643,3939
841,5887
1129,7974
715,4582
860,4899
1270,6299
1415,7637
1463,4660
1994,8464
793,4825
1265,3214
945,4215
2700,9544
1002,4977
1179,4835
1500,5444
750,5747
850,4530
2250,4889
789,5087
820,4120
882,4168
860,5034
700,4502
400,3813
2700,10000
762,2837
1080,6667
1125,4444
1500,8105
1410,5522
121,10593
1908,6813
80,12500
1111,4216
758,4027
820,3803
1100,8048
1120,3304
1220,5155
2610,8621
800,2222
812,5200
888,5405
1500,8696
1665,6486
3600,3889
835,4167
1773,8372
1200,7018
630,4124
722,10388
820,3704
1233,5272
750,3772
633,3850
633,4100
633,4000
2700,7078
758,4713
665,3600
950,5333
1401,7711
1193,5572
816,3700
1345,7729
948,5131
1920,6562
2500,6571
170,41000
800,3587
2000,6739
1550,4387
3000,11000
522,11494
1350,3704
945,4605
1100,8438
596,4113
1650,3931
2160,9028
137,2148
720,4630
768,5669
972,5093
1600,7500
1733,5300
1300,4312
710,4603
1450,10081
1872,7477
1200,3657
358,3400
700,4701
2085,10000
1111,4209
700,4898
743,4185
2704,6400
1248,7508
3000,8108
1450,4994
1130,4059
800,5778
712,4333
1600,5607
976,3226
627,5319
1566,8046
1500,7506
990,2667
1635,7111
954,2096
2124,6783
705,3651
642,5447
941,6452
1107,7859
1166,8108
900,4024
1512,6349
600,4404
730,3288
878,4299
820,5388
936,4306
1450,5500
2300,10000
950,4514
646,4025
1850,6500
1250,8187
940,7407
712,3904
1440,5444
585,5333
1285,6536
2000,7443
930,4194
2000,6170
1112,7551
1100,6349
504,2292
1200,3750
1134,6701
1186,6117
1123,4164
950,2842
800,5714
1123,4222
680,4530
1150,5581
2310,11688
1123,4280
850,4865
739,3788
100,3216
1202,3892
1536,9766
3225,7386
950,3632
1202,3946
810,4762
1575,6222
1100,7500
1118,6111
1215,6111
1280,6111
900,3667
2450,3333
2205,10315
890,6204
1202,4000
1463,5104
874,3899
1360,6289
665,4750
854,4426
3500,9492
1250,7005
900,7222
924,6385
2050,6517
730,5013
960,4762
1233,5740
633,3700
936,4514
3000,7795
800,4657
3580,5585
1100,3000
880,4561
1328,6098
1115,6215
760,4915
1136,4393
450,4993
1107,4659
728,4793
850,5299
950,4815
900,4127
1350,7692
1102,4254
1140,5821
1503,5500
